x1,x2_1,x2_2,y1_1,y1_2,y2,a1,a2,x11,x12_1,x12_2,y11_1,y11_2,y12,r,d
0.039517872,-0.018382503,-0.018382503,0.99999666,-0.00258553,0.025593499,0.0,1.0,0.03878257,0.07919697,0.07919697,0.99999785,-0.0020736614,-0.26790407,1.0,0.0
0.03878257,0.07919697,0.07919697,0.99999785,-0.0020736614,-0.26790407,0.0,1.0,0.04195045,0.17677271,0.17677271,0.9999724,-0.007431676,-0.5612403,0.0,0.0
0.04195045,0.17677271,0.17677271,0.9999724,-0.007431676,-0.5612403,1.0,0.0,0.04902136,0.079264276,0.079264276,0.99982595,-0.018655468,-0.270908,0.0,0.0
0.04902136,0.079264276,0.079264276,0.99982595,-0.018655468,-0.270908,0.0,1.0,0.052191928,0.17695585,0.17695585,0.9997102,-0.024072386,-0.5694164,0.0,0.0
0.052191928,0.17695585,0.17695585,0.9997102,-0.024072386,-0.5694164,1.0,0.0,0.059270162,0.07956775,0.07956775,0.99937123,-0.035455607,-0.2844141,0.0,0.0
0.059270162,0.07956775,0.07956775,0.99937123,-0.035455607,-0.2844141,0.0,1.0,0.062452875,0.17737241,0.17737241,0.9991534,-0.041139707,-0.5880676,0.0,0.0
0.062452875,0.17737241,0.17737241,0.9991534,-0.041139707,-0.5880676,1.0,0.0,0.06954777,0.0801113,0.0801113,0.9986004,-0.052887987,-0.3086263,0.0,0.0
0.06954777,0.0801113,0.0801113,0.9986004,-0.052887987,-0.3086263,1.0,0.0,0.07275222,-0.017053531,-0.017053531,0.99825495,-0.05905083,-0.033088837,0.0,0.0
0.07275222,-0.017053531,-0.017053531,0.99825495,-0.05905083,-0.033088837,0.0,1.0,0.072070085,0.08090512,0.08090512,0.9982157,-0.059711434,-0.3438129,0.0,0.0
0.072070085,0.08090512,0.08090512,0.9982157,-0.059711434,-0.3438129,1.0,0.0,0.07530629,-0.016206555,-0.016206555,0.9977815,-0.066573955,-0.070552886,0.0,0.0
0.07530629,-0.016206555,-0.016206555,0.9977815,-0.066573955,-0.070552886,0.0,1.0,0.07465802,0.0817988,0.0817988,0.99768656,-0.06798182,-0.38348943,0.0,0.0
0.07465802,0.0817988,0.0817988,0.99768656,-0.06798182,-0.38348943,1.0,0.0,0.07792997,-0.015247883,-0.015247883,0.9971358,-0.07563179,-0.11300956,0.0,0.0
0.07792997,-0.015247883,-0.015247883,0.9971358,-0.07563179,-0.11300956,0.0,1.0,0.07732006,0.08281236,0.08281236,0.9969623,-0.077885315,-0.42858344,0.0,0.0
0.07732006,0.08281236,0.08281236,0.9969623,-0.077885315,-0.42858344,1.0,0.0,0.08063255,-0.014155756,-0.014155756,0.9962581,-0.08642798,-0.16146106,0.0,0.0
0.08063255,-0.014155756,-0.014155756,0.9962581,-0.08642798,-0.16146106,0.0,1.0,0.08006632,0.083967924,0.083967924,0.9959738,-0.089644656,-0.48014042,0.0,0.0
0.08006632,0.083967924,0.083967924,0.9959738,-0.089644656,-0.48014042,1.0,0.0,0.08342504,-0.012905942,-0.012905942,0.99506706,-0.099204525,-0.21704444,0.0,0.0
0.08342504,-0.012905942,-0.012905942,0.99506706,-0.099204525,-0.21704444,0.0,1.0,0.0829088,0.0852899,0.0852899,0.99462706,-0.10352305,-0.5393449,0.0,0.0
0.0829088,0.0852899,0.0852899,0.99462706,-0.10352305,-0.5393449,1.0,0.0,0.0863204,-0.011471539,-0.011471539,0.9934525,-0.114245765,-0.28105605,0.0,0.0
0.0863204,-0.011471539,-0.011471539,0.9934525,-0.114245765,-0.28105605,0.0,1.0,0.08586154,0.08680504,0.08680504,0.99279463,-0.11982825,-0.60754365,0.0,0.0
0.08586154,0.08680504,0.08680504,0.99279463,-0.11982825,-0.60754365,1.0,0.0,0.08933374,-0.009822926,-0.009822926,0.99126536,-0.13188243,-0.354978,0.0,0.0
0.08933374,-0.009822926,-0.009822926,0.99126536,-0.13188243,-0.354978,0.0,1.0,0.08894082,0.08854219,0.08854219,0.9903041,-0.13891658,-0.6862692,0.0,0.0
0.08894082,0.08854219,0.08854219,0.9903041,-0.13891658,-0.6862692,0.0,1.0,0.09248251,0.18691881,0.18691881,0.9883042,-0.15249538,-1.019379,0.0,0.0
0.09248251,0.18691881,0.18691881,0.9883042,-0.15249538,-1.019379,1.0,0.0,0.09995926,0.09052528,0.09052528,0.98499,-0.17261143,-0.77841425,0.0,0.0
0.09995926,0.09052528,0.09052528,0.98499,-0.17261143,-0.77841425,1.0,0.0,0.10358027,-0.0056578577,-0.0056578577,0.98218346,-0.18792449,-0.54494375,0.0,0.0
0.10358027,-0.0056578577,-0.0056578577,0.98218346,-0.18792449,-0.54494375,1.0,0.0,0.10335396,-0.10167439,-0.10167439,0.980077,-0.19861782,-0.31727594,0.0,0.0
0.10335396,-0.10167439,-0.10167439,0.980077,-0.19861782,-0.31727594,1.0,0.0,0.09928698,-0.19757245,-0.19757245,0.97879696,-0.20483287,-0.093707144,0.0,0.0
0.09928698,-0.19757245,-0.19757245,0.97879696,-0.20483287,-0.093707144,1.0,0.0,0.09138408,-0.29340246,-0.29340246,0.9784114,-0.20666692,0.12746632,0.0,0.0
0.09138408,-0.29340246,-0.29340246,0.9784114,-0.20666692,0.12746632,0.0,1.0,0.07964799,-0.19470161,-0.19470161,0.97893506,-0.20417196,-0.2230038,0.0,0.0
0.07964799,-0.19470161,-0.19470161,0.97893506,-0.20417196,-0.2230038,0.0,1.0,0.071859926,-0.09601339,-0.09601339,0.9780147,-0.20853603,-0.57285845,0.0,1.0
-0.04790393,-0.011919514,-0.011919514,0.99995446,0.009543236,-0.039856818,1.0,0.0,-0.04838071,-0.10954826,-0.10954826,0.99996173,0.008746133,0.2558218,1.0,0.0
-0.04838071,-0.10954826,-0.10954826,0.99996173,0.008746133,0.2558218,1.0,0.0,-0.052762643,-0.20717113,-0.20717113,0.9999039,0.013862236,0.5512506,0.0,0.0
-0.052762643,-0.20717113,-0.20717113,0.9999039,0.013862236,0.5512506,1.0,0.0,-0.061049487,-0.30482808,-0.30482808,0.9996903,0.024885122,0.8482687,0.0,0.0
-0.061049487,-0.30482808,-0.30482808,0.9996903,0.024885122,0.8482687,1.0,0.0,-0.07324261,-0.40255427,-0.40255427,0.9991243,0.041840848,1.1486727,0.0,0.0
-0.07324261,-0.40255427,-0.40255427,0.9991243,0.041840848,1.1486727,1.0,0.0,-0.08934478,-0.50037557,-0.50037557,0.9978995,0.06478112,1.4541808,0.0,0.0
-0.08934478,-0.50037557,-0.50037557,0.9978995,0.06478112,1.4541808,1.0,0.0,-0.1093598,-0.5983032,-0.5983032,0.99559367,0.093772165,1.7663922,0.0,0.0
-0.1093598,-0.5983032,-0.5983032,0.99559367,0.093772165,1.7663922,0.0,1.0,-0.13329193,-0.5013313,-0.5013313,0.9916604,0.12887852,1.5043277,0.0,0.0
-0.13329193,-0.5013313,-0.5013313,0.9916604,0.12887852,1.5043277,0.0,1.0,-0.15334518,-0.404662,-0.404662,0.98733467,0.15865134,1.2546285,0.0,0.0
-0.15334518,-0.404662,-0.404662,0.98733467,0.15865134,1.2546285,0.0,1.0,-0.16953166,-0.30827996,-0.30827996,0.9830433,0.18337356,1.015788,0.0,0.0
-0.16953166,-0.30827996,-0.30827996,0.9830433,0.18337356,1.015788,1.0,0.0,-0.18186286,-0.40679887,-0.40679887,0.9791153,0.20330562,1.3602449,0.0,0.0
-0.18186286,-0.40679887,-0.40679887,0.9791153,0.20330562,1.3602449,0.0,1.0,-0.19813481,-0.3107722,-0.3107722,0.9732228,0.22986382,1.1379532,0.0,1.0
-0.048483133,0.016829085,0.016829085,0.9992644,-0.03834842,-0.007898069,1.0,0.0,-0.04780997,-0.08044664,-0.08044664,0.99925834,-0.038506266,0.27244002,1.0,0.0
-0.04780997,-0.08044664,-0.08044664,0.99925834,-0.038506266,0.27244002,1.0,0.0,-0.051027834,-0.17772254,-0.17772254,0.99945337,-0.033060964,0.55273044,0.0,0.0
-0.051027834,-0.17772254,-0.17772254,0.99945337,-0.033060964,0.55273044,1.0,0.0,-0.058136735,-0.27504373,-0.27504373,0.99975777,-0.022010602,0.8348144,0.0,0.0
