x1,x2,x3,x4,x5,x6,a1,a2,x11,x12,x13,x14,x15,x16,r,d
0.039517872,-0.0183825025,-0.0183825025,0.999996657511415,-0.002585530119294512,0.025593499,1.0,0.0,0.03878257,-0.115924885,-0.115924885,0.9999978499610296,-0.0020736618138474847,0.31745955,1.0,0.0
0.03878257,-0.115924885,-0.115924885,0.9999978499610296,-0.0020736618138474847,0.31745955,1.0,0.0,0.034145575,-0.21347107,-0.21347107,0.9999908599440841,0.004275514973803732,0.6094878,0.0,0.0
0.034145575,-0.21347107,-0.21347107,0.9999908599440841,0.004275514973803732,0.6094878,0.0,1.0,0.025606733,-0.11594011,-0.11594011,0.9998644502737984,0.016464540038364246,0.31815457,0.0,0.0
0.025606733,-0.11594011,-0.11594011,0.9998644502737984,0.016464540038364246,0.31815457,0.0,1.0,0.020969128,-0.018498298,-0.018498298,0.9997394439859504,0.022826391275512184,0.03070935,0.0,0.0
0.020969128,-0.018498298,-0.018498298,0.9997394439859504,0.022826391275512184,0.03070935,1.0,0.0,0.020229196,-0.11621918,-0.11621918,0.9997252357034873,0.02344041590089135,0.33050656,0.0,0.0
0.020229196,-0.11621918,-0.11621918,0.9997252357034873,0.02344041590089135,0.33050656,0.0,1.0,0.015580429,-0.018828906,-0.018828906,0.9995484517783965,0.030048170450306038,0.04530751,0.0,0.0
0.015580429,-0.018828906,-0.018828906,0.9995484517783965,0.030048170450306038,0.04530751,1.0,0.0,0.014827273,-0.116598765,-0.116598765,0.9995208133258786,0.03095389682049854,0.3473188,0.0,0.0
0.014827273,-0.116598765,-0.116598765,0.9995208133258786,0.03095389682049854,0.3473188,0.0,1.0,0.010163322,-0.019264645,-0.019264645,0.9992816831613658,0.03789614357936404,0.064556815,0.0,0.0
0.010163322,-0.019264645,-0.019264645,0.9992816831613658,0.03789614357936404,0.064556815,0.0,1.0,0.0093927365,0.078014635,0.078014635,0.9992319211432965,0.03918632118835551,-0.21592994,0.0,0.0
0.0093927365,0.078014635,0.078014635,0.9992319211432965,0.03918632118835551,-0.21592994,0.0,1.0,0.012513322,0.1752848,0.1752848,0.9993918325832917,0.03487068920755514,-0.4959955,0.0,0.0
0.012513322,0.1752848,0.1752848,0.9993918325832917,0.03487068920755514,-0.4959955,0.0,1.0,0.019524714,0.2725914,0.2725914,0.9996885691027722,0.02495525606464261,-0.7774858,0.0,0.0
0.019524714,0.2725914,0.2725914,0.9996885691027722,0.02495525606464261,-0.7774858,0.0,1.0,0.03042837,0.3699764,0.3699764,0.9999557438713895,0.009407991210453423,-1.062213,0.0,0.0
0.03042837,0.3699764,0.3699764,0.9999557438713895,0.009407991210453423,-1.062213,0.0,1.0,0.045227427,0.46747445,0.46747445,0.999929953842907,-0.01183585264025902,-1.3519282,0.0,0.0
0.045227427,0.46747445,0.46747445,0.999929953842907,-0.01183585264025902,-1.3519282,0.0,1.0,0.063926406,0.5651088,0.5651088,0.9992444742777695,-0.03886490222995577,-1.6482904,0.0,0.0
0.063926406,0.5651088,0.5651088,0.9992444742777695,-0.03886490222995577,-1.6482904,0.0,1.0,0.08653075,0.6628859,0.6628859,0.9974205809437043,-0.07177872045337186,-1.9528265,0.0,0.0
0.08653075,0.6628859,0.6628859,0.9974205809437043,-0.07177872045337186,-1.9528265,1.0,0.0,0.11304619,0.5657414,0.5657414,0.9938572231982918,-0.11066986896432413,-1.6832476,0.0,0.0
0.11304619,0.5657414,0.5657414,0.9938572231982918,-0.11066986896432413,-1.6832476,1.0,0.0,0.13567585,0.46890295,0.46890295,0.9895691015203805,-0.14405899248622733,-1.4270538,0.0,0.0
0.13567585,0.46890295,0.46890295,0.9895691015203805,-0.14405899248622733,-1.4270538,1.0,0.0,0.15443197,0.3723677,0.3723677,0.9850550396871042,-0.17223985829951693,-1.1828222,0.0,0.0
0.15443197,0.3723677,0.3723677,0.9850550396871042,-0.17223985829951693,-1.1828222,1.0,0.0,0.16932668,0.27611473,0.27611473,0.9807052189241833,-0.19549238751130374,-0.94901735,0.0,0.0
0.16932668,0.27611473,0.27611473,0.9807052189241833,-0.19549238751130374,-0.94901735,1.0,0.0,0.18037127,0.18011111,0.18011111,0.9768182817387431,-0.21407018582924994,-0.72403836,0.0,1.0
