x1, x2, a, x11, x12, r, d
-0.4083613,0.0,0,-0.41020843,-0.0018471677,1,0
-0.41020843,-0.0018471677,1,-0.41288972,-0.0026812884,0,0
-0.41288972,-0.0026812884,1,-0.41638616,-0.0034964252,0,0
-0.41638616,-0.0034964252,2,-0.41967288,-0.0032867272,0,0
-0.41967288,-0.0032867272,2,-0.42272648,-0.003053605,0,0
-0.42272648,-0.003053605,0,-0.42752513,-0.004798653,0,0
-0.42752513,-0.004798653,0,-0.4340344,-0.0065092705,0,0
-0.4340344,-0.0065092705,2,-0.44020736,-0.0061729494,0,0
-0.44020736,-0.0061729494,2,-0.44599923,-0.0057918816,0,0
-0.44599923,-0.0057918816,2,-0.45136788,-0.005368635,0,0
-0.45136788,-0.005368635,0,-0.458274,-0.0069061373,0,0
-0.458274,-0.0069061373,0,-0.46666697,-0.008392943,0,0
-0.46666697,-0.008392943,1,-0.47548482,-0.008817859,0,0
-0.47548482,-0.008817859,1,-0.48466226,-0.009177461,0,0
-0.48466226,-0.009177461,0,-0.4951311,-0.010468822,0,0
-0.4951311,-0.010468822,2,-0.5048132,-0.0096820695,0,0
-0.5048132,-0.0096820695,0,-0.5156361,-0.0108228875,0,0
-0.5156361,-0.0108228875,0,-0.52751863,-0.011882602,0,0
-0.52751863,-0.011882602,1,-0.53937185,-0.011853203,0,0
-0.53937185,-0.011853203,1,-0.5511068,-0.011734949,0,0
-0.5511068,-0.011734949,0,-0.5636357,-0.012528873,0,0
-0.5636357,-0.012528873,0,-0.576865,-0.013229318,0,0
-0.576865,-0.013229318,2,-0.58869654,-0.011831519,0,0
-0.58869654,-0.011831519,2,-0.5990429,-0.010346384,0,0
-0.5990429,-0.010346384,2,-0.60782826,-0.008785372,0,0
-0.60782826,-0.008785372,0,-0.61698866,-0.009160351,0,0
-0.61698866,-0.009160351,1,-0.6254577,-0.0084690545,0,0
-0.6254577,-0.0084690545,1,-0.63317466,-0.007716947,0,0
-0.63317466,-0.007716947,2,-0.63908446,-0.0059098494,0,0
-0.63908446,-0.0059098494,2,-0.6431454,-0.0040609306,0,0
-0.6431454,-0.0040609306,0,-0.64732885,-0.004183428,0,0
-0.64732885,-0.004183428,2,-0.64960545,-0.0022766157,0,0
-0.64960545,-0.0022766157,1,-0.6509594,-0.0013539132,0,0
-0.6509594,-0.0013539132,1,-0.65138113,-0.0004217809,0,0
-0.65138113,-0.0004217809,1,-0.6508679,0.0005132859,0,0
-0.6508679,0.0005132859,0,-0.6504231,0.00044478144,0,0
-0.6504231,0.00044478144,1,-0.6490499,0.0013731804,0,0
-0.6490499,0.0013731804,2,-0.6457579,0.0032920092,0,0
-0.6457579,0.0032920092,1,-0.64157003,0.0041878317,0,0
-0.64157003,0.0041878317,2,-0.6355158,0.006054261,0,0
-0.6355158,0.006054261,1,-0.62863785,0.006877957,0,0
-0.62863785,0.006877957,2,-0.61998504,0.0086527765,0,0
-0.61998504,0.0086527765,1,-0.6106194,0.009365642,0,0
-0.6106194,0.009365642,2,-0.59960854,0.0110109085,0,0
-0.59960854,0.0110109085,2,-0.58703244,0.012576054,0,0
-0.58703244,0.012576054,2,-0.5729835,0.0140489405,0,0
-0.5729835,0.0140489405,2,-0.55756557,0.015417973,0,0
-0.55756557,0.015417973,2,-0.54089326,0.016672283,0,0
-0.54089326,0.016672283,2,-0.5230913,0.017801933,0,0
-0.5230913,0.017801933,1,-0.5052932,0.017798128,0,0
-0.5052932,0.017798128,1,-0.4876323,0.017660905,0,0
-0.4876323,0.017660905,1,-0.47024062,0.01739168,0,0
-0.47024062,0.01739168,2,-0.4522474,0.0179932,0,0
-0.4522474,0.0179932,0,-0.4357853,0.016462142,0,0
-0.4357853,0.016462142,2,-0.41897416,0.016811132,0,0
-0.41897416,0.016811132,1,-0.40293488,0.016039269,0,0
-0.40293488,0.016039269,0,-0.38878095,0.014153925,0,0
-0.38878095,0.014153925,1,-0.37561083,0.013170133,0,0
-0.37561083,0.013170133,2,-0.3625145,0.013096327,0,0
-0.3625145,0.013096327,1,-0.35057983,0.0119346725,0,0
-0.35057983,0.0119346725,0,-0.3408853,0.0096945185,0,0
-0.3408853,0.0096945185,1,-0.33249354,0.008391767,0,0
-0.33249354,0.008391767,0,-0.32645783,0.006035715,0,0
-0.32645783,0.006035715,0,-0.32281595,0.003641858,0,0
-0.32281595,0.003641858,2,-0.31959054,0.0032254101,0,0
-0.31959054,0.0032254101,1,-0.31780145,0.0017890956,0,0
-0.31780145,0.0017890956,1,-0.31745964,0.00034181916,0,0
-0.31745964,0.00034181916,0,-0.31956717,-0.002107547,0,0
-0.31956717,-0.002107547,0,-0.3241112,-0.004544005,0,0
-0.3241112,-0.004544005,0,-0.33106363,-0.0069524376,0,0
-0.33106363,-0.0069524376,1,-0.3393811,-0.008317486,0,0
-0.3393811,-0.008317486,1,-0.34901097,-0.009629854,0,0
-0.34901097,-0.009629854,1,-0.35989118,-0.01088021,0,0
-0.35989118,-0.01088021,1,-0.37195042,-0.012059251,0,0
-0.37195042,-0.012059251,0,-0.38610822,-0.014157783,0,0
-0.38610822,-0.014157783,2,-0.4002682,-0.014159971,0,0
-0.4002682,-0.014159971,0,-0.4163322,-0.01606399,0,0
-0.4163322,-0.01606399,1,-0.43318686,-0.016854675,0,0
-0.43318686,-0.016854675,2,-0.44971132,-0.016524483,0,0
-0.44971132,-0.016524483,0,-0.46778545,-0.01807411,0,0
